year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","LIBERIA","LIBERIA","10270.395","477318"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","LIBERIA","LIBERIA","4724.3817","232167"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","LIBERIA","LIBERIA","21567.8295","1110767"
"2015","BRAZIL","SANTOS","USINA SANTA FE S/A.","USINA SANTA FE S/A.","LIBERIA","LIBERIA","23621.9085","1017943"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","LIBERIA","LIBERIA","47243.817","2414927"
"2015","BRAZIL","SALVADOR","USINA SAO JOSE DO PINHEIRO LTDA","USINA SAO JOSE DO PINHEIRO LTDA","LIBERIA","LIBERIA","7189.2765","357487"
"2015","BRAZIL","SALVADOR","USINA SAO JOSE","USINA SAO JOSE","LEBANON","LEBANON","4108.158","213884"
"2015","BRAZIL","SANTOS","GOIASA GOIATUBA ALCOOL LTDA","GOIASA GOIATUBA ALCOOL LTDA","ITALY","EUROPEAN UNION","1807.0189425","172208"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","ISRAEL","ISRAEL","4108.158","192482"
"2015","BRAZIL","SANTOS","NARDINI AGROINDUSTRIAL","NARDINI AGROINDUSTRIAL","ISRAEL","ISRAEL","23863.4073288","976067"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","YEMEN","YEMEN","174626.080722","7244822"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","YEMEN","YEMEN","80109.081","4211313"
"2015","BRAZIL","SUAPE","USINA SERRA GRANDE SA","USINA SERRA GRANDE SA","YEMEN","YEMEN","197602.3998","9863411"
"2015","BRAZIL","SANTOS","SUCDEN DO BRASIL LTDA.","SUCDEN DO BRASIL LTDA.","YEMEN","YEMEN","169461.5175","8776870"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","EQUATORIAL GUINEA","EQUATORIAL GUINEA","410.8158","18278"
"2015","BRAZIL","SUAPE","USINA TRAPICHE S/A","USINA TRAPICHE S/A","EQUATORIAL GUINEA","EQUATORIAL GUINEA","10270.395","541512"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","GUINEA","GUINEA","62238.5937","2885320"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","GUINEA","GUINEA","57514.212","2707187"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","GUINEA","GUINEA","31016.5929","1437691"
"2015","BRAZIL","PARANAGUA","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","GUINEA","GUINEA","130434.0165","6739143"
"2015","BRAZIL","PARANAGUA","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL","GUINEA","GUINEA","68400.8307","3471312"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","GUINEA","GUINEA","44778.9222","2102384"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","GUINEA","GUINEA","78671.2257","4000689"
"2015","BRAZIL","SANTOS","CANEX EXPORTACAO LTDA","CANEX EXPORTACAO LTDA","GUINEA","GUINEA","8216.316","368647"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","GREECE","EUROPEAN UNION","9243.3555","447605"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","GHANA","GHANA","65730.528","3045612"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","GHANA","GHANA","46833.0012","2147248"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","GHANA","GHANA","63676.449","2667015"
"2015","BRAZIL","SANTOS","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL","GHANA","GHANA","11502.8424","602437"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","GHANA","GHANA","20129.9742","1003895"
"2015","BRAZIL","SUAPE","USINA SERRA GRANDE SA","USINA SERRA GRANDE SA","GHANA","GHANA","12940.6977","578327"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","GAMBIA","GAMBIA","27730.0665","1256350"
"2015","BRAZIL","SANTOS","USINA SANTA ISABEL","USINA SANTA ISABEL","GAMBIA","GAMBIA","5135.1975","205821"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","GAMBIA","GAMBIA","83190.1995","3966238"
"2015","BRAZIL","SANTOS","CANEX EXPORTACAO LTDA","CANEX EXPORTACAO LTDA","GAMBIA","GAMBIA","41956.4655","1758287"
"2015","BRAZIL","SANTOS","TIMBRO COMERCIO EXTERIOR LTDA","TIMBRO COMERCIO EXTERIOR LTDA","GAMBIA","GAMBIA","13351.5135","564666"
"2015","BRAZIL","SANTOS","USINA BELA VISTA S/A","USINA BELA VISTA S/A","GAMBIA","GAMBIA","4108.158","158533"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","UNITED STATES","UNITED STATES","201837.60639","21042485"
"2015","BRAZIL","RIO GRANDE","CAMIL ALIMENTOS","CAMIL ALIMENTOS","UNITED STATES","UNITED STATES","0.380385","25"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","UNITED STATES","UNITED STATES","2084.5098","98937"
"2015","BRAZIL","SANTOS","GOIASA GOIATUBA ALCOOL LTDA","GOIASA GOIATUBA ALCOOL LTDA","UNITED STATES","UNITED STATES","160526.958543","15171382"
"2015","BRAZIL","SANTOS","JALLES MACHADO","JALLES MACHADO","UNITED STATES","UNITED STATES","248622.8768802","23826254"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","SPAIN","EUROPEAN UNION","593.4006","35679"
"2015","BRAZIL","SALVADOR","BRAZIL AGROBUSINESS COMERCIO INTERNACIONAL DE FRUTAS EIRELI - EPP","BRAZIL AGROBUSINESS COMERCIO INTERNACIONAL DE FRUTAS EIRELI - EPP","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES","7.759854","774"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","DENMARK","EUROPEAN UNION","5489.71632","519056"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","BENIN","BENIN","154261.3329","7265103"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","BENIN","BENIN","216742.231845","9886533"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","BENIN","BENIN","61585.472655","2792969"
"2015","BRAZIL","SANTOS","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","ENERGY COMERCIAL IMPORTADORA E EXPORTADORA LTDA","BENIN","BENIN","13351.5135","668449"
"2015","BRAZIL","SANTOS","USINA SANTA ISABEL","USINA SANTA ISABEL","BENIN","BENIN","8216.316","329422"
"2015","BRAZIL","SANTOS","LOUIS DREYFUS","LOUIS DREYFUS","BENIN","BENIN","116466.2793","5752427"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","BENIN","BENIN","167407.4385","8581112"
"2015","BRAZIL","SANTOS","CANEX EXPORTACAO LTDA","CANEX EXPORTACAO LTDA","BENIN","BENIN","10270.395","475687"
"2015","BRAZIL","SALVADOR","USINA SAO JOSE DO PINHEIRO LTDA","USINA SAO JOSE DO PINHEIRO LTDA","BENIN","BENIN","13762.3293","679530"
"2015","BRAZIL","SANTOS","WILMAR SUGAR BRASIL COMERCIAL LTDA.","WILMAR SUGAR BRASIL COMERCIAL LTDA.","BENIN","BENIN","17254.2636","784697"
"2015","BRAZIL","SANTOS","NOBLE BRASIL S/A","COFCO","BENIN","BENIN","24040.332","1137225"
"2015","BRAZIL","SANTOS","CENTRAL ENERGETICA MORENO DE MONTE APRAZIVEL ACUCAR E ALCOOL","CENTRAL ENERGETICA MORENO DE MONTE APRAZIVEL ACUCAR E ALCOOL","BENIN","BENIN","4108.158","213521"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COTE D'IVOIRE","COTE D'IVOIRE","41081.58","1758166"
"2015","BRAZIL","SUAPE","COMPANHIA AGRO INDUSTRIAL DE GOIANA","COMPANHIA AGRO INDUSTRIAL DE GOIANA","COTE D'IVOIRE","COTE D'IVOIRE","86765.8185","4003173"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","SOUTH KOREA","SOUTH KOREA","14629.911408","1570285"
"2015","BRAZIL","SANTOS","GOIASA GOIATUBA ALCOOL LTDA","GOIASA GOIATUBA ALCOOL LTDA","SOUTH KOREA","SOUTH KOREA","17299.9098","1747182"
"2015","BRAZIL","SANTOS","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COLOMBIA","COLOMBIA","56692.5804","2616760"
"2015","BRAZIL","SAO PAULO","JALLES MACHADO","JALLES MACHADO","CHINA (MAINLAND)","CHINA (MAINLAND)","3.423465","405"
"2015","BRAZIL","SANTOS","USINA SAO FRANCISCO S/A","USINA SAO FRANCISCO S/A","CANADA","CANADA","21885.9682986","2301724"
"2015","BRAZIL","SANTOS","GOIASA GOIATUBA ALCOOL LTDA","GOIASA GOIATUBA ALCOOL LTDA","CANADA","CANADA","12532.9858416","1209555"
"2015","BRAZIL","SANTOS","JALLES MACHADO","JALLES MACHADO","CANADA","CANADA","31147.6279248","2910839"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","CAMEROON","CAMEROON","36258.2982","1833802"
"2015","BRAZIL","SANTOS","CANEX EXPORTACAO LTDA","CANEX EXPORTACAO LTDA","CAMEROON","CAMEROON","2054.079","94406"
"2015","BRAZIL","SUAPE","COMPANHIA AGRO INDUSTRIAL DE GOIANA","COMPANHIA AGRO INDUSTRIAL DE GOIANA","CAMEROON","CAMEROON","4108.158","216551"
"2015","BRAZIL","SANTOS","EISA - EMPRESA INTERAGRICOLA","EISA - EMPRESA INTERAGRICOLA","CAPE VERDE","CAPE VERDE","15405.5925","704647"
"2015","BRAZIL","SANTOS","E D & F MAN BRASIL S/A.","E D & F MAN BRASIL S/A.","CAPE VERDE","CAPE VERDE","23621.9085","1193817"
