year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","SAN LORENZO","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ALGERIA","ALGERIA","80299.27","13114766.909999998"
"2015","ARGENTINA","SAN LORENZO","AMAGGI ARGENTINA S A","AMAGGI","ALGERIA","ALGERIA","79059.65500000001","13813580.73"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","VIETNAM","VIETNAM","78113","14766856"
"2015","ARGENTINA","ROSARIO","PUERTO ARROYO SECO S R L","PUERTO ARROYO SECO S R L","CUBA","CUBA","78000","13739625"
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","ALGERIA","ALGERIA","76342.79999999999","14042995.41"
"2015","ARGENTINA","VILLA CONSTITUCION","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","UNITED KINGDOM","EUROPEAN UNION","74990.491","13365230.25"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","MOROCCO","MOROCCO","74673.09999999999","12306615.73"
"2015","ARGENTINA","SAN LORENZO","AMAGGI ARGENTINA S A","AMAGGI","MALAYSIA","MALAYSIA","73843.6","13082893.799999999"
"2015","ARGENTINA","SAN LORENZO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","MALAYSIA","MALAYSIA","70857","12179416"
"2015","ARGENTINA","SAN LORENZO","LUIS Y MARIO ANDREOLI S A","LUIS Y MARIO ANDREOLI S A","YEMEN","YEMEN","68750","12035586.879999999"
"2015","ARGENTINA","SAN LORENZO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","ALGERIA","ALGERIA","68697.26000000001","10823245.19"
"2015","ARGENTINA","ROSARIO","MONSANTO ARGENTINA SAIC","MONSANTO","VIETNAM","VIETNAM","68464.025","11361339.180000002"
"2015","ARGENTINA","SAN LORENZO","COMPANIA ARGENTINA DE GRANOS S.A.","COMPANIA ARGENTINA DE GRANOS S.A.","SAUDI ARABIA","SAUDI ARABIA","63770","11410997.2"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","SOUTH AFRICA","SOUTH AFRICA","63631.12","11628904.69"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","SAUDI ARABIA","SAUDI ARABIA","63252","12650400"
"2015","ARGENTINA","BAHIA BLANCA","CARGILL SACI.","CARGILL","SAUDI ARABIA","SAUDI ARABIA","62040.105","11209344.82"
"2015","ARGENTINA","BAHIA BLANCA","NIDERA ARGENTINA","COFCO","SAUDI ARABIA","SAUDI ARABIA","61920","11799252"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","NETHERLANDS","EUROPEAN UNION","61865.305","14164999"
"2015","ARGENTINA","BAHIA BLANCA","UNKNOWN","UNKNOWN","VIETNAM","VIETNAM","61457.10999999999","10951135.6"
"2015","ARGENTINA","ROSARIO","CURCIJA S A","CURCIJA S A","VENEZUELA","VENEZUELA","60750","20262125"
"2015","ARGENTINA","SAN LORENZO","AMAGGI ARGENTINA S A","AMAGGI","VIETNAM","VIETNAM","60696.62","9996837.559999999"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","VENEZUELA","VENEZUELA","60000.00000000001","9602500.120000001"
"2015","ARGENTINA","SAN LORENZO","LUIS Y MARIO ANDREOLI S A","LUIS Y MARIO ANDREOLI S A","MOROCCO","MOROCCO","59400","10796693.5"
"2015","ARGENTINA","BAHIA BLANCA","CARGILL SACI.","CARGILL","SOUTH KOREA","SOUTH KOREA","58976.64","9889241.309999999"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","YEMEN","YEMEN","58525","9230516.379999999"
"2015","ARGENTINA","SAN LORENZO","GRANELES ANDINOS S A","GRANELES ANDINOS S A","VIETNAM","VIETNAM","57990.95","10878293.879999999"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","EGYPT","EGYPT","57616","11110792.01"
"2015","ARGENTINA","SAN LORENZO","LUIS Y MARIO ANDREOLI S A","LUIS Y MARIO ANDREOLI S A","MALAYSIA","MALAYSIA","56663.68","10122462.4"
"2015","ARGENTINA","ROSARIO","BIOART S A","BIOART S A","VENEZUELA","VENEZUELA","55000","21532500"
"2015","ARGENTINA","ROSARIO","MULTICEREALES S A","MULTICEREALES S A","INDONESIA","INDONESIA","54999.154","9906060.18"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","EGYPT","EGYPT","54965","10293555"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","SENEGAL","SENEGAL","54784","10804086.31"
"2015","ARGENTINA","BAHIA BLANCA","CARGILL SACI.","CARGILL","VIETNAM","VIETNAM","53995.24","9188838.379999999"
"2015","ARGENTINA","SAN LORENZO","CHS DE ARGENTINA S.A.","CHS","ALGERIA","ALGERIA","53551.380000000005","8407566.59"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","INDONESIA","INDONESIA","53546","9594340"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","VIETNAM","VIETNAM","53424.32000000001","9248131.07"
"2015","ARGENTINA","SAN LORENZO","MONSANTO ARGENTINA SAIC","MONSANTO","INDONESIA","INDONESIA","53375","8709493.759999998"
"2015","ARGENTINA","BAHIA BLANCA","CARGILL SACI.","CARGILL","MALAYSIA","MALAYSIA","52904","9465050"
"2015","ARGENTINA","ROSARIO","TRADING SUR S A","TRADING SUR S A","CUBA","CUBA","52500","11711854.5"
"2015","ARGENTINA","ROSARIO","AGRONEGOCIOS JEWELL S R L","AGRONEGOCIOS JEWELL S R L","CUBA","CUBA","52500","10438822.5"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","INDONESIA","INDONESIA","52462.21000000001","8681319.85"
"2015","ARGENTINA","SAN LORENZO","MONSANTO ARGENTINA SAIC","MONSANTO","VIETNAM","VIETNAM","51250","8769022.51"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","YEMEN","YEMEN","50754.7","8496091"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","VENEZUELA","VENEZUELA","50500","9968100"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","MOROCCO","MOROCCO","50446.53","9261145.46"
"2015","ARGENTINA","ROSARIO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","SOUTH KOREA","SOUTH KOREA","48600","9121426"
"2015","ARGENTINA","SAN LORENZO","FONDOMONTE EL DESCANSO SA","FONDOMONTE EL DESCANSO SA","SAUDI ARABIA","SAUDI ARABIA","48350","9632100"
"2015","ARGENTINA","SAN LORENZO","CANTABRIA S A","CANTABRIA S A","INDONESIA","INDONESIA","48300","8124060"
"2015","ARGENTINA","BAHIA BLANCA","BUNGE ARGENTINA SA","BUNGE","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES","48065","8767664.55"
"2015","ARGENTINA","ROSARIO","MULTICEREALES S A","MULTICEREALES S A","MALAYSIA","MALAYSIA","47600","9250914"
"2015","ARGENTINA","SAN LORENZO","AMAGGI ARGENTINA S A","AMAGGI","PERU","PERU","47560","8085199.91"
"2015","ARGENTINA","ROSARIO","MULTICEREALES S A","MULTICEREALES S A","MOROCCO","MOROCCO","47366.9","8269247.95"
"2015","ARGENTINA","GUALEGUAYCHU","CHS DE ARGENTINA S.A.","CHS","VIETNAM","VIETNAM","46800","8809200"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","PERU","PERU","46716.11","8508724.81"
"2015","ARGENTINA","ROSARIO","MULTICEREALES S A","MULTICEREALES S A","VIETNAM","VIETNAM","46650","8935950"
"2015","ARGENTINA","SAN LORENZO","UNIVERSAL GRAIN ARGENTINA SA","UNIVERSAL GRAIN ARGENTINA SA","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES","46419","8416001"
"2015","ARGENTINA","SAN LORENZO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","ALGERIA","ALGERIA","46285","8167314.4399999995"
"2015","ARGENTINA","ROSARIO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","MALAYSIA","MALAYSIA","46230","7883780"
"2015","ARGENTINA","ROSARIO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","VIETNAM","VIETNAM","46200","8241618"
"2015","ARGENTINA","SAN LORENZO","COMPANIA ARGENTINA DE GRANOS S.A.","COMPANIA ARGENTINA DE GRANOS S.A.","INDONESIA","INDONESIA","45700","7757200"
"2015","ARGENTINA","SAN LORENZO","CARGILL SACI.","CARGILL","PERU","PERU","45190.905","7570965.680000001"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","SOUTH KOREA","SOUTH KOREA","45000","7065000"
"2015","ARGENTINA","ROSARIO","EXPORT GRAINS SA","EXPORT GRAINS SA","EGYPT","EGYPT","44500","7552500"
"2015","ARGENTINA","SAN LORENZO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","VIETNAM","VIETNAM","44194.95","7931753.7"
"2015","ARGENTINA","SAN LORENZO","PILAGA SOCIEDAD ANONIMA GANADERA","PILAGA SOCIEDAD ANONIMA GANADERA","VIETNAM","VIETNAM","44000","7309558"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","UNITED ARAB EMIRATES","UNITED ARAB EMIRATES","43309","8313255"
"2015","ARGENTINA","CAMPANA","UNKNOWN","UNKNOWN","MALAYSIA","MALAYSIA","43205.31","8471679.25"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","INDONESIA","INDONESIA","43173.485","8338834.1899999995"
"2015","ARGENTINA","BAHIA BLANCA","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","VIETNAM","VIETNAM","42847","7405580"
"2015","ARGENTINA","ROSARIO","QUEBRACHITO GRANOS S A","QUEBRACHITO GRANOS S A","MALAYSIA","MALAYSIA","42000","7098000"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","EGYPT","EGYPT","41504","6852429.8100000005"
"2015","ARGENTINA","ROSARIO","AMAGGI ARGENTINA S A","AMAGGI","SOUTH AFRICA","SOUTH AFRICA","41477.69","7569195"
"2015","ARGENTINA","ROSARIO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","INDONESIA","INDONESIA","41300","7052801"
"2015","ARGENTINA","ROSARIO","YPF","YPF","EGYPT","EGYPT","41000","6852470"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","JORDAN","JORDAN","40700","7067500"
"2015","ARGENTINA","SAN NICOLAS","BUNGE ARGENTINA SA","BUNGE","ALGERIA","ALGERIA","40478","7569386"
"2015","ARGENTINA","SAN LORENZO","ACEITERA GENERAL DEHEZA SA.","ACEITERA GENERAL DEHEZA SA.","INDONESIA","INDONESIA","40389","7637465.97"
"2015","ARGENTINA","SAN LORENZO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","ALGERIA","ALGERIA","40241","6871955.5"
"2015","ARGENTINA","ROSARIO","EXPORT GRAINS SA","EXPORT GRAINS SA","VIETNAM","VIETNAM","40000","7080000"
"2015","ARGENTINA","SAN LORENZO","EXPORT GRAINS SA","EXPORT GRAINS SA","VIETNAM","VIETNAM","40000","7080000"
"2015","ARGENTINA","BAHIA BLANCA","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","SOUTH KOREA","SOUTH KOREA","40000","6279999.94"
"2015","ARGENTINA","SAN LORENZO","VICENTIN SAIC.","VICENTIN","JORDAN","JORDAN","40000","6169200"
"2015","ARGENTINA","BAHIA BLANCA","LARTIRIGOYEN Y CIA.S.A.","LARTIRIGOYEN Y CIA.S.A.","SAUDI ARABIA","SAUDI ARABIA","40000","6678960.100000001"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","POLAND","EUROPEAN UNION","39859.31","8650865.5"
"2015","ARGENTINA","SAN LORENZO","AMAGGI ARGENTINA S A","AMAGGI","EGYPT","EGYPT","39750","6757500"
"2015","ARGENTINA","SAN LORENZO","COMPANIA ARGENTINA DE GRANOS S.A.","COMPANIA ARGENTINA DE GRANOS S.A.","ALGERIA","ALGERIA","39437.998999999996","7424632.6899999995"
"2015","ARGENTINA","ROSARIO","QUEBRACHITO GRANOS S A","QUEBRACHITO GRANOS S A","VIETNAM","VIETNAM","39250","6751000"
"2015","ARGENTINA","SAN LORENZO","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","INDONESIA","INDONESIA","39242","7335956"
"2015","ARGENTINA","SAN LORENZO","VICENTIN SAIC.","VICENTIN","INDONESIA","INDONESIA","39209","6124446"
"2015","ARGENTINA","ROSARIO","CHS DE ARGENTINA S.A.","CHS","EGYPT","EGYPT","39200","6502731"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","ALGERIA","ALGERIA","39091","7421412"
"2015","ARGENTINA","SAN LORENZO","NOBLE ARGENTINA S.A.","COFCO","JORDAN","JORDAN","39055","6688707"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","SOUTH KOREA","SOUTH KOREA","38500","7700000"
"2015","ARGENTINA","SAN LORENZO","GRANELES ANDINOS S A","GRANELES ANDINOS S A","MOROCCO","MOROCCO","38500","6702000"
"2015","ARGENTINA","SAN LORENZO","MONSANTO ARGENTINA SAIC","MONSANTO","ALGERIA","ALGERIA","38500","6828030"
